Battery_ID,Samples,RUL_Real_Mean,RUL_Pred_Mean,R2,MAE,RMSE
4,1051,537.3025689819219,578.7974,0.9764798879623413,42.109004974365234,47.99109567067494
5,1021,545.258570029383,549.734,0.9919727444648743,22.05004119873047,28.097254109192992
7,1051,537.698382492864,528.807,0.986058235168457,28.302871704101562,36.93135590291974
8,1053,536.3304843304843,576.3719,0.974949300289154,41.518375396728516,49.503338941997136
11,1047,537.1757402101242,581.67444,0.9435465931892395,57.70478057861328,74.37675943297073
