Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.848393762915649,0.8437798687870894,0.848393762915649,0.8431965273508182
Gradient Boosting,0.8311102761600602,0.8241053771272209,0.8311102761600602,0.8269329722769111
Decision Tree,0.8110088296073643,0.8042516090524529,0.8110088296073643,0.8072657269640043
SVM (RBF),0.8089423257561525,0.7845030878083501,0.8089423257561525,0.7952522609700242
K-Nearest Neighbors,0.797670486567725,0.7871950374033166,0.797670486567725,0.7916946974666378
Logistic Regression,0.759534097313545,0.7297892121942875,0.759534097313545,0.7432644676436081
Naive Bayes,0.37910952470411424,0.576387176847775,0.37910952470411424,0.36313262162775783
