Battery_ID,Samples,RUL_Real_Mean,RUL_Pred_Mean,R2,MAE,RMSE
4,1051,537.3025689819219,558.0006,0.9896748065948486,22.667552947998047,31.79723587018807
5,1021,545.258570029383,533.9401,0.9852648973464966,28.083982467651367,38.067775316901894
7,1051,537.698382492864,516.0318,0.9742975234985352,35.016845703125,50.144527446297666
8,1053,536.3304843304843,573.62225,0.9753630757331848,37.34446334838867,49.09281010398824
11,1047,537.1757402101242,569.9682,0.965325117111206,40.62226104736328,58.29077293178033
