Time_cycles,Survival_Probability,CI_lower_95,CI_upper_95
1102.0,0.9285714285714286,0.7936640529391082,1.0
1104.0,0.8571428571428572,0.7782225316347828,1.0
1107.0,0.7857142857142857,0.7602869057331314,1.0
1107.0,0.7142857142857143,0.7392012113707853,1.0
1107.0,0.6428571428571429,0.7140580735820994,1.0
1107.0,0.5714285714285714,0.6835660309443505,1.0
1107.0,0.5,0.6458234850600961,1.0
1107.0,0.42857142857142855,0.5979132292065427,1.0
1107.0,0.35714285714285715,0.535128829802743,1.0
1107.0,0.28571428571428575,0.44938454112803305,1.0
1111.0,0.2142857142857143,0.3256475521456251,1.0
1112.0,0.14285714285714285,0.13322223379388565,1.0
1113.0,0.07142857142857142,0.0,1.0
1133.0,0.0,0.0,0.0
