Model,Param1_name,Param1_value,Param2_name,Param2_value,AIC,BIC,Interpretation
Weibull,beta (shape),107.8332408371551,eta (scale),1113.560651145372,108.74654517605975,110.02465983529027,📈 Croissant (usure progressive) ✓
Exponential,lambda,0.0009014229605305517,-,,226.32299888303262,226.9620562126479,Taux constant
LogNormal,sigma,0.006365153224035887,scale,1109.3345511562404,98.459039821871,99.73715448110151,Dégradation progressive
Gamma,alpha,24552.232306000922,scale,0.045183555166427775,98.53309236069113,99.81120701992164,Sollicitations cumulatives
